,match_id,league,sport,comp_names,results_value,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
41,la-lakers-eza-gs-warriors-spooky-202211071832,ebasketball-h2h-gg-league-4x5mins,basketball,"['LA Lakers (EZA)', 'GS Warriors (SPOOKY)']","['0', '0']",2022-11-07 18:32:24.860477,GS Warriors (SPOOKY),LA Lakers (EZA),TOTAL,4.5,underdog,-120,0,0
42,la-clippers-adza-uta-jazz-djapacmeister-202211071830,ebasketball-battle-4x5mins,basketball,"['LA Clippers (Adza)', 'UTA Jazz (Djapacmeister)']","['2', '2']",2022-11-07 18:32:25.043057,LA Clippers (Adza),UTA Jazz (Djapacmeister),SPREAD,5.5,favorite,-120,2,2
43,la-clippers-adza-uta-jazz-djapacmeister-202211071830,ebasketball-battle-4x5mins,basketball,"['LA Clippers (Adza)', 'UTA Jazz (Djapacmeister)']","['2', '2']",2022-11-07 18:32:25.043057,UTA Jazz (Djapacmeister),LA Clippers (Adza),SPREAD,5.5,favorite,-120,2,2
44,la-clippers-adza-uta-jazz-djapacmeister-202211071830,ebasketball-battle-4x5mins,basketball,"['LA Clippers (Adza)', 'UTA Jazz (Djapacmeister)']","['2', '2']",2022-11-07 18:32:25.043057,LA Clippers (Adza),UTA Jazz (Djapacmeister),WIN,,,+175,2,2
45,la-clippers-adza-uta-jazz-djapacmeister-202211071830,ebasketball-battle-4x5mins,basketball,"['LA Clippers (Adza)', 'UTA Jazz (Djapacmeister)']","['2', '2']",2022-11-07 18:32:25.043057,UTA Jazz (Djapacmeister),LA Clippers (Adza),WIN,,,-255,2,2
46,la-clippers-adza-uta-jazz-djapacmeister-202211071830,ebasketball-battle-4x5mins,basketball,"['LA Clippers (Adza)', 'UTA Jazz (Djapacmeister)']","['2', '2']",2022-11-07 18:32:25.043057,LA Clippers (Adza),UTA Jazz (Djapacmeister),TOTAL,5.5,favorite,-140,2,2
47,la-clippers-adza-uta-jazz-djapacmeister-202211071830,ebasketball-battle-4x5mins,basketball,"['LA Clippers (Adza)', 'UTA Jazz (Djapacmeister)']","['2', '2']",2022-11-07 18:32:25.043057,UTA Jazz (Djapacmeister),LA Clippers (Adza),TOTAL,5.5,favorite,EVEN,2,2
48,orl-magic-blanc-phi-76ers-spicyp-202211071830,ebasketball-battle-4x5mins,basketball,"['ORL Magic (Blanc)', 'PHI 76ers (SpicyP)']","['0', '0']",2022-11-07 18:32:25.251339,ORL Magic (Blanc),PHI 76ers (SpicyP),SPREAD,6.5,favorite,-120,0,0
49,orl-magic-blanc-phi-76ers-spicyp-202211071830,ebasketball-battle-4x5mins,basketball,"['ORL Magic (Blanc)', 'PHI 76ers (SpicyP)']","['0', '0']",2022-11-07 18:32:25.251339,PHI 76ers (SpicyP),ORL Magic (Blanc),SPREAD,6.5,favorite,-120,0,0
50,orl-magic-blanc-phi-76ers-spicyp-202211071830,ebasketball-battle-4x5mins,basketball,"['ORL Magic (Blanc)', 'PHI 76ers (SpicyP)']","['0', '0']",2022-11-07 18:32:25.251339,ORL Magic (Blanc),PHI 76ers (SpicyP),WIN,,,+205,0,0
